insured_id,insured_name,industry_group,size_tier,prior_carrier_band,risk_grade
I-9001,Calloway Steel Fabricators,manufacturing,middle,2_3,standard
I-9002,Brightpath Pediatrics Group,healthcare,small,0_1,preferred
I-9003,Gulfstone Hospitality Holdings,hospitality,large,4_plus,substandard
I-9004,Redwood Terrace Properties,real_estate,large,2_3,standard
I-9005,Nimbus Data Systems,technology,middle,0_1,standard
I-9006,Ironvale Construction Co,construction,middle,2_3,substandard
I-9007,Lakeshore Freight Lines,transportation,middle,4_plus,substandard
I-9008,Verdant Grocers Cooperative,retail,small,0_1,preferred
I-9009,Atlas Point Consulting,professional_services,small,0_1,preferred
I-9010,Coastal Breeze Resorts,hospitality,large,2_3,standard
I-9011,Quarry Ridge Equipment Rental,construction,small,2_3,standard
I-9012,Helix Care Diagnostics,healthcare,middle,0_1,standard
