claim_id,contract_id,claim_type,entitlement_basis,notice_timely,schedule_impact,severity,status,disposition,deadline_bucket,filed_month,age_days,days_to_deadline,claimed_amount,approved_amount
CLM-8001,CT-6001,change_order_request,design_change,yes,none,medium,closed,approved,closed,2026-03,21,0,184500.00,184500.00
CLM-8002,CT-6002,change_order_request,design_change,yes,days_15,medium,closed,negotiated_partial,closed,2026-03,34,0,96200.00,61000.00
CLM-8003,CT-6005,delay_claim,weather,yes,days_15,medium,closed,approved,closed,2026-03,40,0,128000.00,118500.00
CLM-8004,CT-6019,differing_site_conditions,site_conditions,yes,days_15,high,closed,negotiated_partial,closed,2026-03,55,0,412000.00,235000.00
CLM-8005,CT-6015,payment_dispute,spec_ambiguity,yes,none,low,closed,approved,closed,2026-03,18,0,47300.00,47300.00
CLM-8006,CT-6003,change_order_request,owner_directive,yes,none,medium,closed,approved,closed,2026-04,25,0,152400.00,149000.00
CLM-8007,CT-6018,delay_claim,weather,no,days_15,medium,closed,rejected_no_entitlement,closed,2026-04,44,0,175000.00,0.00
CLM-8008,CT-6024,differing_site_conditions,site_conditions,yes,days_30_plus,high,closed,approved,closed,2026-04,62,0,890000.00,812000.00
CLM-8009,CT-6006,change_order_request,spec_ambiguity,yes,none,low,closed,rejected_no_entitlement,closed,2026-04,29,0,38900.00,0.00
CLM-8010,CT-6023,delay_claim,site_conditions,yes,days_15,medium,closed,negotiated_partial,closed,2026-04,51,0,264000.00,132000.00
CLM-8011,CT-6012,payment_dispute,spec_ambiguity,yes,none,low,closed,withdrawn,closed,2026-04,15,0,21800.00,0.00
CLM-8012,CT-6001,delay_claim,owner_directive,yes,days_30_plus,high,closed,negotiated_partial,closed,2026-04,58,0,620000.00,310000.00
CLM-8013,CT-6016,change_order_request,design_change,yes,none,medium,closed,approved,closed,2026-05,22,0,208700.00,208700.00
CLM-8014,CT-6020,defect_backcharge,subcontractor_default,yes,none,medium,closed,approved,closed,2026-05,30,0,64500.00,64500.00
CLM-8015,CT-6025,acceleration,owner_directive,yes,days_15,medium,closed,rejected_no_entitlement,closed,2026-05,37,0,296000.00,0.00
CLM-8016,CT-6010,change_order_request,owner_directive,yes,none,low,closed,approved,closed,2026-05,12,0,58600.00,58600.00
CLM-8017,CT-6008,delay_claim,weather,no,days_15,medium,closed,rejected_no_entitlement,closed,2026-05,41,0,142000.00,0.00
CLM-8018,CT-6028,change_order_request,design_change,yes,none,low,closed,withdrawn,closed,2026-05,9,0,17400.00,0.00
CLM-8019,CT-6013,change_order_request,design_change,yes,none,low,closed,approved,closed,2026-06,8,0,42300.00,42300.00
CLM-8020,CT-6014,payment_dispute,spec_ambiguity,yes,none,medium,closed,negotiated_partial,closed,2026-06,19,0,76400.00,49700.00
CLM-9001,CT-6007,delay_claim,owner_directive,yes,days_30_plus,high,open,pending,8_21_days,2026-06,9,10,1450000.00,0.00
CLM-9002,CT-6008,differing_site_conditions,site_conditions,yes,days_15,high,open,pending,0_7_days,2026-06,7,5,685000.00,0.00
CLM-9003,CT-6014,change_order_request,design_change,yes,none,medium,open,pending,8_21_days,2026-06,6,18,312000.00,0.00
CLM-9004,CT-6009,acceleration,owner_directive,disputed,days_15,medium,open,pending,over_21_days,2026-06,12,25,498000.00,0.00
CLM-9005,CT-6013,defect_backcharge,subcontractor_default,yes,none,high,open,pending,0_7_days,2026-06,5,7,226000.00,0.00
CLM-9006,CT-6011,payment_dispute,spec_ambiguity,yes,none,medium,open,pending,8_21_days,2026-06,4,12,91400.00,0.00
