entity_id,business_unit,industry,nexus_footprint,erp_system,voluntary_disclosure_history
E-3001,Meridian Retail Group,retail,national,sap,no
E-3002,Meridian Direct Ecommerce,ecommerce,national,sap,yes
E-3003,BlueHarbor SaaS,software_saas,national,netsuite,no
E-3004,Cobalt Logistics,logistics,regional,oracle,no
E-3005,Stonebridge Manufacturing,manufacturing,regional,sap,yes
E-3006,Aster Payroll Services,payroll_services,national,dynamics,no
E-3007,Juniper Hospitality,hospitality,regional,netsuite,no
E-3008,Redwood Medical Devices,medical_devices,national,oracle,no
E-3009,Larkspur Foods,food_beverage,regional,dynamics,no
E-3010,Quartz Analytics,software_saas,single_state,quickbooks,no
E-3011,Harbor Point Construction,construction,single_state,quickbooks,no
E-3012,Vireo Energy Services,energy_services,regional,oracle,yes
