claim_id,unit_id,dealer_id,claim_type,component_system,failure_mode,labor_op_band,usage_band,in_warranty,severity,status,disposition,deadline_bucket,filed_month,age_days,days_to_deadline,claim_amount,adjusted_amount,recovery_amount
CLM-6001,U-5101,D-3001,repair,powertrain,no_start,single_op,under_250_hrs,yes,medium,closed,approve_pay_claim,closed,2026-03,21,0,1240.00,1240.00,0.00
CLM-6002,U-5103,D-3004,repair,electrical,harness_short,three_plus_ops,250_750_hrs,yes,medium,closed,adjust_partial_pay,closed,2026-03,34,0,2180.00,1310.00,0.00
CLM-6003,U-5105,D-3005,repair,hydraulics,hydraulic_leak,two_ops,over_750_hrs,yes,medium,closed,approve_pay_claim,closed,2026-03,18,0,1875.50,1875.50,0.00
CLM-6004,U-5104,D-3003,repair,powertrain,seal_leak,two_ops,under_250_hrs,yes,high,closed,close_supplier_recovery,closed,2026-03,40,0,3420.00,3420.00,3420.00
CLM-6005,U-5109,D-3007,repair,hvac,compressor_failure,two_ops,250_750_hrs,yes,low,closed,approve_pay_claim,closed,2026-03,15,0,960.00,960.00,0.00
CLM-6006,U-5106,D-3006,repair,infotainment,software_fault,single_op,under_250_hrs,yes,low,closed,deny_policy_exclusion,closed,2026-03,9,0,310.00,0.00,0.00
CLM-6007,U-5107,D-3004,repair,electrical,sensor_fault,three_plus_ops,under_250_hrs,yes,medium,closed,deny_policy_exclusion,closed,2026-04,27,0,1690.00,0.00,0.00
CLM-6008,U-5108,D-3009,repair,hydraulics,seal_leak,single_op,under_250_hrs,yes,low,closed,close_supplier_recovery,closed,2026-04,12,0,640.00,640.00,640.00
CLM-6009,U-5102,D-3002,goodwill,hvac,compressor_failure,single_op,over_limit,no,low,closed,adjust_partial_pay,closed,2026-04,22,0,1150.00,575.00,0.00
CLM-6010,U-5111,D-3011,repair,powertrain,seal_leak,two_ops,under_250_hrs,yes,high,closed,close_supplier_recovery,closed,2026-04,31,0,3510.00,3510.00,3510.00
CLM-6011,U-5113,D-3004,repair,electrical,harness_short,three_plus_ops,250_750_hrs,yes,medium,closed,escalate_dealer_audit,closed,2026-04,44,0,2340.00,0.00,0.00
CLM-6012,U-5110,D-3008,replacement,hydraulics,hydraulic_leak,two_ops,under_250_hrs,yes,high,closed,approve_pay_claim,closed,2026-04,26,0,4890.00,4890.00,0.00
CLM-6013,U-5109,D-3007,repair,hvac,compressor_failure,two_ops,250_750_hrs,yes,medium,closed,approve_pay_claim,closed,2026-05,17,0,1020.00,1020.00,0.00
CLM-6014,U-5115,D-3010,repair,electrical,no_start,two_ops,over_limit,no,medium,closed,deny_policy_exclusion,closed,2026-05,20,0,880.00,0.00,0.00
CLM-6015,U-5114,D-3001,repair,powertrain,premature_wear,single_op,250_750_hrs,yes,low,closed,approve_pay_claim,closed,2026-05,11,0,720.00,720.00,0.00
CLM-6016,U-5119,D-3004,repair,electrical,sensor_fault,three_plus_ops,under_250_hrs,yes,medium,closed,adjust_partial_pay,closed,2026-05,29,0,1980.00,990.00,0.00
CLM-6017,U-5118,D-3012,repair,powertrain,seal_leak,two_ops,under_250_hrs,yes,high,closed,close_supplier_recovery,closed,2026-05,35,0,3390.00,3390.00,3390.00
CLM-6018,U-5120,D-3005,repair,infotainment,software_fault,single_op,under_250_hrs,yes,low,closed,approve_pay_claim,closed,2026-06,7,0,285.00,285.00,0.00
CLM-6019,U-5124,D-3004,repair,electrical,harness_short,three_plus_ops,250_750_hrs,yes,high,closed,escalate_dealer_audit,closed,2026-06,13,0,2610.00,0.00,0.00
CLM-6020,U-5117,D-3002,recall_related,brakes,premature_wear,single_op,under_250_hrs,yes,medium,closed,deny_policy_exclusion,closed,2026-06,10,0,540.00,0.00,0.00
CLM-7001,U-5103,D-3004,repair,electrical,harness_short,three_plus_ops,250_750_hrs,yes,high,open,pending,0_7_days,2026-06,9,4,2875.00,0.00,0.00
CLM-7002,U-5126,D-3009,repair,powertrain,seal_leak,two_ops,under_250_hrs,yes,high,open,pending,8_21_days,2026-06,6,15,3480.00,0.00,0.00
CLM-7003,U-5129,D-3011,goodwill,powertrain,premature_wear,single_op,over_limit,no,medium,open,pending,over_21_days,2026-06,4,28,1450.00,0.00,0.00
CLM-7004,U-5121,D-3003,replacement,hydraulics,hydraulic_leak,three_plus_ops,over_750_hrs,yes,high,open,pending,0_7_days,2026-06,11,6,6240.00,0.00,0.00
CLM-7005,U-5109,D-3007,repair,hvac,compressor_failure,two_ops,over_750_hrs,yes,medium,open,pending,8_21_days,2026-06,5,12,1080.00,0.00,0.00
CLM-7006,U-5112,D-3012,recall_related,brakes,premature_wear,single_op,under_250_hrs,yes,high,open,pending,0_7_days,2026-06,3,2,610.00,0.00,0.00
