app_id,loan_id,request_type,hardship_reason,delinquency_bucket,investor,doc_status,dual_track_hold,prior_workout_flag,severity,status,disposition,filed_month,age_days,days_to_deadline,deadline_bucket,upb_band,arrearage_amount
APP-8001,L-6001,modification,job_loss,60,gse,complete,no,no,medium,closed,approve_workout_offer,2026-03,34,0,closed,150k_300k,4820.00
APP-8002,L-6008,modification,income_reduction,120_plus,fha,complete,yes,yes,high,closed,refer_foreclosure_alternatives,2026-03,52,0,closed,under_150k,19640.00
APP-8003,L-6014,forbearance,disaster,30,gse,complete,no,no,medium,closed,approve_workout_offer,2026-03,11,0,closed,150k_300k,1730.00
APP-8004,L-6012,repayment_plan,medical,60,portfolio,incomplete,no,no,low,closed,request_missing_documents,2026-03,41,0,closed,150k_300k,6180.00
APP-8005,L-6016,modification,divorce,30,portfolio,complete,no,no,low,closed,close_reinstated,2026-03,18,0,closed,over_500k,4310.00
APP-8012,L-6009,modification,income_reduction,90,fha,complete,no,yes,high,closed,approve_workout_offer,2026-03,27,0,closed,under_150k,8140.00
APP-8006,L-6002,modification,job_loss,60,gse,incomplete,no,no,medium,closed,request_missing_documents,2026-04,37,0,closed,150k_300k,5240.00
APP-8007,L-6019,modification,income_reduction,90,fha,complete,no,yes,high,closed,approve_workout_offer,2026-04,29,0,closed,under_150k,9870.00
APP-8008,L-6005,forbearance,medical,30,gse,complete,no,no,medium,closed,approve_workout_offer,2026-04,9,0,closed,over_500k,3980.00
APP-8009,L-6007,repayment_plan,income_reduction,60,portfolio,complete,no,no,low,closed,approve_workout_offer,2026-04,16,0,closed,under_150k,2210.00
APP-8010,L-6017,modification,job_loss,90,va,complete,no,no,medium,closed,deny_with_specific_reasons,2026-04,33,0,closed,300k_500k,11450.00
APP-8011,L-6013,modification,divorce,90,va,complete,no,no,medium,closed,deny_with_specific_reasons,2026-05,31,0,closed,300k_500k,10230.00
APP-8013,L-6024,short_sale,job_loss,120_plus,portfolio,complete,no,no,medium,closed,approve_workout_offer,2026-05,44,0,closed,150k_300k,15720.00
APP-8014,L-6020,repayment_plan,medical,30,gse,complete,no,no,low,closed,close_reinstated,2026-05,13,0,closed,under_150k,1490.00
APP-8015,L-6029,modification,income_reduction,120_plus,fha,incomplete,no,yes,high,closed,request_missing_documents,2026-05,39,0,closed,150k_300k,18310.00
APP-8016,L-6026,forbearance,disaster,30,va,complete,no,no,medium,closed,approve_workout_offer,2026-05,8,0,closed,150k_300k,1660.00
APP-8017,L-6027,deed_in_lieu,income_reduction,120_plus,portfolio,complete,no,no,medium,closed,approve_workout_offer,2026-06,21,0,closed,under_150k,12980.00
APP-8018,L-6028,modification,medical,60,gse,complete,no,no,low,closed,deny_with_specific_reasons,2026-06,25,0,closed,300k_500k,6540.00
APP-8019,L-6011,repayment_plan,job_loss,30,portfolio,complete,no,no,low,closed,close_reinstated,2026-06,10,0,closed,under_150k,1120.00
APP-8020,L-6008,short_sale,income_reduction,120_plus,fha,complete,yes,yes,high,closed,deny_with_specific_reasons,2026-06,30,0,closed,under_150k,23440.00
APP-9001,L-6002,modification,job_loss,90,gse,complete,no,no,high,open,pending,2026-06,27,3,0_7_days,150k_300k,9310.00
APP-9002,L-6015,modification,income_reduction,120_plus,portfolio,complete,yes,no,high,open,pending,2026-06,14,16,8_20_days,300k_500k,21300.00
APP-9003,L-6018,forbearance,disaster,60,gse,complete,no,no,medium,open,pending,2026-06,9,21,over_20_days,under_150k,5120.00
APP-9004,L-6004,modification,medical,60,fha,incomplete,no,no,medium,open,pending,2026-06,12,18,8_20_days,150k_300k,7230.00
APP-9005,L-6013,modification,divorce,90,va,complete,no,yes,medium,open,pending,2026-06,6,24,over_20_days,300k_500k,11080.00
APP-9006,L-6009,modification,income_reduction,120_plus,fha,complete,no,yes,high,open,pending,2026-06,8,5,0_7_days,under_150k,17800.00
