nc_id,lot_id,nc_type,detection_point,spec_class,quantity_band,severity,status,disposition,containment,filed_month,age_days,days_to_deadline,deadline_bucket,est_cost_impact
NC-4001,L-3001,dimensional,in_process,major,2_10,medium,closed,rework_to_spec,released,2026-03,18,0,closed,4200.00
NC-4002,L-3005,surface_finish,final_inspection,minor,11_50,low,closed,rework_to_spec,not_required,2026-03,9,0,closed,850.00
NC-4003,L-3008,material_property,incoming_inspection,critical_characteristic,2_10,high,closed,return_to_supplier,released,2026-03,24,0,closed,9600.00
NC-4004,L-3017,documentation,incoming_inspection,minor,over_50,low,closed,no_defect_found,not_required,2026-03,6,0,closed,150.00
NC-4005,L-3025,dimensional,incoming_inspection,minor,over_50,low,closed,use_as_is,not_required,2026-03,15,0,closed,1200.00
NC-4006,L-3029,process_deviation,in_process,major,11_50,medium,closed,rework_to_spec,released,2026-03,21,0,closed,3100.00
NC-4007,L-3001,dimensional,final_inspection,critical_characteristic,single_unit,high,closed,scrap,released,2026-04,27,0,closed,7800.00
NC-4008,L-3014,process_deviation,in_process,major,11_50,medium,closed,rework_to_spec,released,2026-04,14,0,closed,2650.00
NC-4009,L-3008,material_property,in_process,major,2_10,high,closed,return_to_supplier,released,2026-04,19,0,closed,8400.00
NC-4010,L-3012,surface_finish,final_inspection,minor,over_50,low,closed,no_defect_found,not_required,2026-04,8,0,closed,300.00
NC-4011,L-3006,foreign_object,in_process,major,2_10,medium,closed,scrap,released,2026-04,12,0,closed,1900.00
NC-4012,L-3021,material_property,customer_return,major,11_50,high,closed,scrap,released,2026-04,25,0,closed,12800.00
NC-4013,L-3003,dimensional,in_process,major,single_unit,medium,closed,rework_to_spec,released,2026-05,16,0,closed,5300.00
NC-4014,L-3010,material_property,incoming_inspection,critical_characteristic,2_10,high,closed,return_to_supplier,released,2026-05,22,0,closed,11250.00
NC-4015,L-3026,dimensional,incoming_inspection,minor,over_50,low,closed,use_as_is,not_required,2026-05,11,0,closed,950.00
NC-4016,L-3016,documentation,final_inspection,minor,11_50,low,closed,no_defect_found,not_required,2026-05,7,0,closed,200.00
NC-4017,L-3022,material_property,customer_return,major,11_50,high,closed,scrap,released,2026-05,26,0,closed,15400.00
NC-4018,L-3024,surface_finish,in_process,minor,11_50,low,closed,use_as_is,not_required,2026-05,10,0,closed,700.00
NC-4019,L-3027,material_property,supplier_notification,critical_characteristic,over_50,high,closed,return_to_supplier,released,2026-06,13,0,closed,6800.00
NC-4020,L-3013,surface_finish,final_inspection,minor,over_50,low,closed,rework_to_spec,not_required,2026-06,5,0,closed,1100.00
NC-5001,L-3004,dimensional,final_inspection,critical_characteristic,single_unit,high,open,pending,quarantined,2026-06,6,2,0_5_days,14500.00
NC-5002,L-3011,material_property,incoming_inspection,major,2_10,medium,open,pending,quarantined,2026-06,4,8,6_15_days,8900.00
NC-5003,L-3015,process_deviation,in_process,major,11_50,medium,open,pending,quarantined,2026-06,3,12,6_15_days,4700.00
NC-5004,L-3018,foreign_object,final_inspection,critical_characteristic,2_10,high,open,pending,quarantined,2026-06,2,3,0_5_days,9800.00
NC-5005,L-3028,documentation,incoming_inspection,minor,11_50,medium,open,pending,not_required,2026-06,5,21,over_15_days,450.00
NC-5006,L-3023,material_property,customer_return,major,over_50,high,open,pending,customer_hold,2026-06,7,9,6_15_days,18200.00
