employer_id,employer_name,industry,class_code_group,state,safety_program,experience_mod_tier
E-3001,Harbor Point Logistics,transportation,trucking_local,CA,no,debit
E-3002,Summit Ridge Construction,construction,carpentry_general,TX,yes,debit
E-3003,Lakeside Assisted Living,healthcare,nursing_care,IL,yes,neutral
E-3004,Prairie Foods Processing,manufacturing,food_processing,IL,no,debit
E-3005,Coral Bay Hospitality Group,hospitality,restaurant_fullservice,FL,no,neutral
E-3006,Ironvale Metal Works,manufacturing,metal_fabrication,PA,yes,credit
E-3007,GreenGate Landscaping,services,landscaping,FL,no,debit
E-3008,Novara Office Solutions,clerical,clerical_office,CA,yes,credit
E-3009,RedRock Warehousing,warehousing,warehouse_distribution,TX,no,debit
E-3010,Cedar & Vine Retail Co,retail,retail_store,CA,yes,credit
E-3011,TriState Electrical Contractors,construction,electrical_wiring,PA,yes,neutral
E-3012,Meadowlark Home Health,healthcare,home_health,TX,no,neutral
