claim_id,shipment_id,claim_kind,claim_type,commodity_event,liability_band,severity,status,disposition,deadline_bucket,filed_month,age_days,days_to_deadline,amount,recovery_amount
CLM-9001,SHP-6001,cargo_osd,damage,machinery_parts,carrier_liable,medium,closed,file_carrier_recovery,closed,2026-03,41,0,7400.00,7400.00
CLM-9002,SHP-6002,cargo_osd,reefer_breakdown,produce,carrier_liable,high,closed,accept_pay_claim,closed,2026-03,55,0,18650.00,0.00
CLM-9003,SHP-6003,safety_event,harsh_event,hard_braking,not_applicable,low,closed,close_coaching_completed,closed,2026-03,10,0,0.00,0.00
CLM-9004,SHP-6004,cargo_osd,shortage,paper_goods,carrier_liable,low,closed,accept_pay_claim,closed,2026-03,24,0,1240.00,0.00
CLM-9005,SHP-6005,cargo_osd,damage,beverages,shipper_fault,medium,closed,deny_claim_documented,closed,2026-03,38,0,5620.00,0.00
CLM-9006,SHP-6006,safety_event,following_distance,tailgating,not_applicable,medium,closed,close_coaching_completed,closed,2026-03,14,0,0.00,0.00
CLM-9007,SHP-6007,cargo_osd,overage,apparel,undetermined,low,closed,deny_claim_documented,closed,2026-04,19,0,0.00,0.00
CLM-9008,SHP-6008,cargo_osd,damage,machinery_parts,carrier_liable,medium,closed,file_carrier_recovery,closed,2026-04,33,0,6980.00,6980.00
CLM-9009,SHP-6009,cargo_osd,reefer_breakdown,frozen_food,shipper_fault,medium,closed,deny_claim_documented,closed,2026-04,47,0,21300.00,0.00
CLM-9010,SHP-6010,cargo_osd,shortage,electronics,undetermined,medium,closed,deny_claim_documented,closed,2026-04,29,0,3840.00,0.00
CLM-9011,SHP-6011,safety_event,harsh_event,hard_braking,not_applicable,low,closed,close_coaching_completed,closed,2026-04,9,0,0.00,0.00
CLM-9012,SHP-6013,carrier_vetting,carrier_fraud_check,blocked_references,not_applicable,high,closed,escalate_fraud_investigation,closed,2026-04,16,0,0.00,0.00
CLM-9013,SHP-6014,cargo_osd,shortage,apparel,carrier_liable,low,closed,accept_pay_claim,closed,2026-04,21,0,980.00,0.00
CLM-9014,SHP-6015,cargo_osd,damage,electronics,released_value_cap,medium,closed,accept_pay_claim,closed,2026-04,44,0,12400.00,0.00
CLM-9015,SHP-6016,carrier_vetting,carrier_fraud_check,identity_verification,not_applicable,medium,closed,deny_claim_documented,closed,2026-05,8,0,0.00,0.00
CLM-9016,SHP-6018,cargo_osd,reefer_breakdown,produce,carrier_liable,medium,closed,file_carrier_recovery,closed,2026-05,26,0,8740.00,8740.00
CLM-9017,SHP-6019,cargo_osd,overage,beverages,undetermined,low,closed,deny_claim_documented,closed,2026-05,12,0,0.00,0.00
CLM-9018,SHP-6020,safety_event,harsh_event,hard_braking,not_applicable,low,closed,close_coaching_completed,closed,2026-05,11,0,0.00,0.00
CLM-9019,SHP-6021,cargo_osd,damage,paper_goods,shipper_fault,medium,closed,deny_claim_documented,closed,2026-05,35,0,4280.00,0.00
CLM-9020,SHP-6022,cargo_osd,shortage,beverages,carrier_liable,medium,closed,file_carrier_recovery,closed,2026-06,18,0,2650.00,2650.00
CLM-9101,SHP-6025,cargo_osd,reefer_breakdown,produce,carrier_liable,high,open,pending,0_15_days,2026-06,7,12,16850.00,0.00
CLM-9102,SHP-6026,cargo_osd,shortage,electronics,undetermined,medium,open,pending,16_45_days,2026-06,5,30,3120.00,0.00
CLM-9103,SHP-6027,carrier_vetting,carrier_fraud_check,banking_change,not_applicable,high,open,pending,0_15_days,2026-06,1,2,0.00,0.00
CLM-9104,SHP-6028,safety_event,harsh_event,hard_braking,not_applicable,medium,open,pending,16_45_days,2026-06,6,25,0.00,0.00
CLM-9105,SHP-6029,cargo_osd,theft,electronics,undetermined,high,open,pending,0_15_days,2026-06,3,9,86900.00,0.00
CLM-9106,SHP-6017,cargo_osd,damage,machinery_parts,carrier_liable,medium,open,pending,over_45_days,2026-06,10,75,6480.00,0.00
